_healpix_29,source_id,ra,dec,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,ztf_14_obj,ztf_16,ztf_22,panstarrs_1_obj,des_y6,delve_2,tic_v82,allwise,neowise,twomass,erass1,hsc_p3_r,skymapper_4_photometry
617653611457120563,1235307193617100160,218.779923720964,16.896663019694955,-1517.1691873928887,-402.6383731825365,13.852091,15.266075,12.682513,True,True,True,True,False,True,True,True,True,True,False,False,False
618067231188804608,1236134438678071168,219.751225425094,18.65532970026724,-12.925295622576158,-1220.201916294333,16.443266,18.628128,15.087273,True,True,True,True,False,True,True,True,True,True,False,False,False
618865026749898819,1237730036208674048,219.86144069695555,19.4894642004444,-1241.0009447716195,385.1245640388152,17.517,21.173414,15.947535,True,True,True,True,False,True,True,True,True,True,False,False,False
622322366811186328,1244644727396803584,206.27327486352385,17.777287971454683,450.9738430630764,-1833.2526914896064,9.108179,10.003153,8.1753845,True,True,True,True,False,True,True,True,True,True,True,False,False
625912043108614338,1251824057289839744,207.00533857595104,23.58012342188568,-1485.655682748447,125.00998018173836,15.338058,15.894626,14.625719,True,True,True,True,False,True,True,True,True,True,False,False,False
625912314373108472,1251824607045654016,207.04869237692137,23.614073287892467,-1482.591472449657,122.334828277187,13.441506,15.620996,12.091246,True,True,True,True,False,True,True,True,True,True,False,False,False
627347451172052032,1254694882149817728,216.44823322587197,23.615501815141084,793.4417456678227,-1118.9113502401951,9.204846,10.207275,8.211471,True,True,True,True,False,True,True,True,True,True,False,False,False
627347806441999680,1254695603704323712,216.4349897911252,23.612118882420447,792.5515191401824,-1116.404589621603,9.006028,9.957909,8.040508,True,True,True,True,False,True,True,True,True,True,False,False,False
644184714977910781,1288369418620932608,224.38096230171445,31.39051862335137,-696.2776848703971,-1162.229363783727,11.18604,11.354787,9.61141,True,True,True,True,False,True,True,True,True,True,False,False,False
644184715047831940,1288369418615181952,224.38086920971912,31.390721094462616,-687.6189565991531,-1166.9412297263775,11.30368,11.361829,9.616941,True,True,True,True,False,True,True,True,True,True,False,False,False
666205381938679607,1332410734823626240,246.5759791373292,39.42313562401976,-1374.7548151954534,237.4165895289675,18.347878,21.354973,16.796625,True,True,True,True,False,False,True,True,True,True,False,False,False
